Package,Comment
alacritty,"A cross-platform, GPU-accelerated terminal emulator"
audacity,"A program that lets you manipulate digital audio waveforms"
bat,"Cat clone with syntax highlighting and git integration"
blender,"A fully integrated 3D graphics creation suite"
brave-bin,"Web browser that blocks ads and trackers by default (binary release)"
brightnessctl,"Lightweight brightness control tool"
cmake,"A cross-platform open-source make system"
cups,"OpenPrinting CUPS - daemon package"
dialog,"A tool to display dialog boxes from shell scripts"
docker,"Pack, ship and run any application as a lightweight container"
docker-compose,"Fast, isolated development environments using Docker"
docker-buildx,"Docker CLI plugin for extended build capabilities with BuildKit"
duf,"Disk Usage/Free Utility"
fd,"Simple, fast and user-friendly alternative to find"
ffmpeg,"Complete solution to record convert and stream audio and video"
ffmpegthumbnailer,"Lightweight video thumbnailer that can be used by file managers"
file,"File type identification utility"
filezilla,"Fast and reliable FTP, FTPS and SFTP client"
findutils,"GNU utilities to locate files"
flatpak,"Linux application sandboxing and distribution framework (formerly xdg-app)"
fzf,"Command-line fuzzy finder"
gawk,"GNU version of awk"
gcc,"The GNU Compiler Collection - C and C++ frontends"
git,"the fast distributed version control system"
git-graph,"Git graph cli tool"
git-lfs,"Git extension for versioning large files"
google-chrome,"The popular web browser by Google (Stable Channel)"
gparted,"A Partition Magic clone, frontend to GNU Parted"
gradience,"Change the look of Adwaita, with ease"
grep,"A string search utility"
gst-libav,"Multimedia graph framework - libav plugin"
gst-plugin-pipewire,"Multimedia graph framework - pipewire plugin"
gst-plugins-bad,"Multimedia graph framework - bad plugins"
gst-plugins-ugly,"Multimedia graph framework - ugly plugins"
gzip,"GNU compression utility"
htop,"Interactive process viewer"
hwdetect,"Hardware detection script with loading modules and mkinitcpio.conf"
hwinfo,"Hardware detection tool from openSUSE"
iputils,"Network monitoring tools"
iw,"nl80211 based CLI configuration utility for wireless devices"
iwd,"Internet Wireless Daemon"
keepassxc,"Cross-platform community-driven port of Keepass password manager"
lazydocker-bin,"A simple terminal UI for docker and docker-compose"
lazygit-git,"A simple terminal UI for git commands"
less,"A terminal based program for viewing text files"
make,"GNU make utility to maintain groups of programs"
man-db,"A utility for reading man pages"
neofetch,"A CLI system information tool written in BASH that supports displaying images."
neovim,"Fork of Vim aiming to improve user experience plugins and GUIs"
network-manager-applet,"Applet for managing network connections"
networkmanager,"Network connection manager and user applications"
nextcloud-client,"Nextcloud desktop client"
nftables,"Netfilter tables userspace tools"
ninja,"Small build system with a focus on speed"
noto-fonts,"Google Noto TTF fonts"
noto-fonts-cjk,"Google Noto CJK fonts"
noto-fonts-emoji,"Google Noto emoji fonts"
noto-fonts-extra,"Google Noto TTF fonts - additional variants"
ntfs-3g,"NTFS filesystem driver and utilities"
nvm,"Node Version Manager - Simple bash script to manage multiple active node.js versions"
nvtop,"GPUs process monitoring for AMD, Intel and NVIDIA"
obs-studio,"Free, open source software for live streaming and recording"
obsidian,"A powerful knowledge base that works on top of a local folder of plain text Markdown files"
pamixer,"Pulseaudio command-line mixer like amixer"
pavucontrol,"PulseAudio Volume Control"
pipewire-pulse,"Low-latency audio/video router and processor - PulseAudio replacement"
postman-bin,"Build, test, and document your APIs faster"
ranger,"Simple vim-like file manager"
ripgrep,"A search tool that combines the usability of ag with the raw speed of grep"
rsync,"A fast and versatile file copying tool for remote and local files"
thunderbird,"Standalone mail and news reader from mozilla.org"
tree-sitter,"Incremental parsing library"
ttf-liberation,"Font family which aims at metric compatibility with Arial, Times New Roman, and Courier New"
ttf-opensans,"Sans-serif typeface commissioned by Google"
ttf-twemoji,"Twitter Color Emoji for everyone."
ttf-vista-fonts,"Microsoft Vista and Office 2007 True Type Fonts"
unrar,"The RAR uncompression program"
unzip,"For extracting and viewing files in .zip archives"
visual-studio-code-bin,"Editor for building and debugging modern web and cloud applications (official binary version)"
wget,"Network utility to retrieve files from the Web"
which,"A utility to show the full path of commands"
whois,"Intelligent WHOIS client"
ydiff,"side-by-side diff viewer"
fish, "A smart and user-friendly command line shell"
wireguard-tools,"Tools for the WireGuard secure network tunnel"
arandr,"Simple visual front end for XRandR"
polybar,"A fast and easy-to-use status bar"
picom,"A lightweight compositor for X11"
nitrogen,"Background browser and setter for X windows"
lxappearance,"Feature-rich GTK+ theme switcher of the LXDE Desktop"
mpv,"Media player based on MPlayer and mplayer2"
lightdm-gtk-greeter-settings,"Settings editor for the LightDM GTK+ Greeter"
ttf-font-awesome,"Iconic font designed for Bootstrap"
discord, "All-in-one voice and text chat for gamers that's free, secure, and works on both your desktop and phone"
flameshot,"Powerful yet simple to use screenshot software"
xclip,"Command line interface to the X11 clipboard"
firefox,"Standalone web browser from mozilla.org"
bitwarden, "The easiest and safest way for individuals, teams, and business organizations to store, share, and sync sensitive data"
imagemagick,"An image viewing/manipulation program"
pavucontrol,"PulseAudio Volume Control"
gnome-keyring,"GNOME password and secret manager"
libsecret,"Library for storing and retrieving passwords and other secrets"
libgnome-keyring,"GNOME password and secret manager"
chromium, "A web browser built for speed, simplicity, and security"
ttf-fira-code, "Monospaced font with programming ligatures"
bluez, "Daemons for the bluetooth protocol stack"
blueman, "GTK+ Bluetooth Manager"
papirus-icon-theme,"Papirus icon theme"
python, "Next generation of the python high-level scripting language"
python-pip, "The PyPA recommended tool for installing Python packages"
dunst, "A lightweight replacement for the notification-daemons provided by most desktop environments"
grub-customizer, "A graphical grub2/burg configuration tool"
teamspeak3, "A proprietary VoIP software"
fuse, "A simple interface for userspace programs to export a virtual file system to the Linux kernel"
xf86-input-wacom, "X.Org Wacom tablet input driver"
xf86-input-evdev, "X.Org evdev input driver"
nautilus , "GNOME file manager"
libreoffice, "A powerful office suite"
krita, "A professional free and open source painting program"
gpick, "Advanced color picker written in C++ using GTK+ toolkit"
obs-studio, "Free, open source software for live streaming and recording"
xorg-xinput, "Small commandline tool to configure devices"
system-config-printer, "A CUPS printer configuration tool and status applet"
noto-fonts-cjk, "Google Noto CJK fonts"
pdfarranger, "Small python-gtk application, which helps the user to merge or split pdf documents and rotate, crop and rearrange their pages using an interactive and intuitive graphical interface"
qbittorrent, "A free and reliable P2P Bittorrent client"
lightdm-webkit2-greeter, "A greeter for LightDM that uses web technologies for theming"
ripgrep, "A search tool that combines the usability of ag with the raw speed of grep"
gnome-system-monitor, "A graphical tool to view and manage system resources"
bitwarden-cli, "The easiest and safest way for individuals, teams, and business organizations to store, share, and sync sensitive data"
sshpass, "Non-interactive ssh password auth"
rofi, "A window switcher, application launcher and dmenu replacement"
rofi-power-menu, "A power menu for rofi"
rofi-greenclip, "Simple clipboard manager for rofi"
font-manager, "A simple font management application for GTK+ Desktop Environments"
piper, "GTK application to configure gaming mice"
sunity-cursors-git, "A cursor theme"
tty-clock-git, "A terminal digital clock"
nerd-fonts-git , "A collection of over 25 patched fonts (over 5,700 variations) & FontForge font patcher python script for Powerline, Font Awesome, Octicons, Devicons, and Vim Devicons"
lightdm-webkit2-theme-glorious, "A clean, minimal, and elegant LightDM Webkit2 theme"
spotify, "A proprietary music streaming service"
spicetify-cli, "Commandline tool to customize Spotify client"
catppuccin-gtk-theme-mocha, "A GTK theme"
betterlockscreen, "A simple lock script for i3lock"
sof-firmware, "Sound Open Firmware"
mesa, "An open-source implementation of the OpenGL specification"
xf86-video-intel, "X.org Intel video driver"
vulkan-intel, "Vulkan driver for Intel GPUs"
brightnessctl, "Lightweight brightness control tool"
stow, "A symlink farm manager"